	tweet_id	adr_mention	tweet_text
0	451439947401031682	0	""" "" "" well , the way i see it , you can either start walking daily or you can start taking januvia daily . it is your choice "" "" . <repeated> me to dm pt """
1	341735936406732801	0	if i run out of prozac i ama be pissed man ugh <elongated>
2	498679682779611136	0	my friend told me she liked nexplanon more than nuvaring & i was like i remember when you had nuvaring & we might know each other too well .
3	349139925746192384	0	<user> ferry corsten </user> <user> ferry corsten </user> cc <hashtag> listeners choice </hashtag> <hashtag> corsten s countdown </hashtag> 313 zehavi & rand - paroxetine ( majera remix ) hopefully not played <laugh>
4	349038276369330176	0	<user> sarah tw33ts </user> i am on 40mg of fluoxetine . and soon i will be on ocd medicine i think so life hates me haha .
5	418946708329205760	1	took too much pregabalin in order to sleep , but all that is happened is i am spaced as fuck and lost the use of my hands a bit
6	352241601394913280	0	how am i still awake after 500 mg seroquel , an ambien xr , & two ativan ?
7	531156358100709376	0	advair <money> in this country <money> in france . why ? lobbyists .
8	388166024190648320	0	<user> me rangel </user> do you like humira otherwise ? good to have your dad as a remicade reference .
9	515897448083234816	0	<user> adam walton </user> ventolin vocals
10	340562297296662528	0	""" "" "" bananas contain a natural chemical that can make a person happy - the same chemical found in prozac . "" "" <user> amy lindsay 87 </user> <hashtag> learn to love them </hashtag> """
11	342214576491880449	0	free 80mg vyvanse from my dads employee for this long day lol <hashtag> thanks </hashtag>
12	332464699302088705	0	<user> magpie pants </user> seroquel ? is that some new australian pan-pipe based hip-hop band ? in which case , you should be off in no time !
13	328244815726772224	0	i will take 2.5 mg olanzapine and zopiclone to settle my sleep . i will intervene early , and not leave things until i am euphoric
14	518108065388691456	0	got like a month ' s supply of avodart in blister packs for free , having to take each one out to put in the 30 day supply i just got . we <elongated> .
15	454039772948754432	0	<user> brooks beau </user> do u listen to tyler the crestor
16	447436046490271745	0	surely temazepam can not interact with one beer that long ago . <repeated> still do not want to risk it though
17	507833514419843072	1	important counselling point for sildenafil - swallow tablet with a full glass of water quickly as it may cause a stiff neck <hashtag> pre reg tips </hashtag>
18	354256675173183492	0	could not get an appointment for a full psych eval until august but i am really keen to switch my medication from fluoxetine ( prozac )
19	520566090502770688	0	<user> nozomi neko </user> unfortunately one component of advair can cause complications after extended use . <repeated> so this is not too surprising
20	345005647210901507	0	<hashtag> allergy </hashtag> <hashtag> alert </hashtag> on the <hashtag> antibiotic </hashtag> <hashtag> c linda my cin </hashtag> <hashtag> health </hashtag> <hashtag> canada </hashtag> warns that it contains <hashtag> quet i spine </hashtag> <hashtag> fuma rate </hashtag> aka <hashtag> seroquel </hashtag> talk to your <hashtag> md </hashtag>
21	351807944406466563	0	rt <user> scrip donna dc </user> : <hashtag> fda </hashtag> expands use of sunovion's latuda in major depressive episodes associated w / bipolar i disorder <url> . <repeated>
22	539424441566892033	0	""" 5 film milik sony pictures dibajak baru-baru ini antara lain "" "" fury "" "" "" "" annie "" "" "" "" mr . turner "" "" "" "" still alice "" "" & "" "" to write love on her arms "" "" . """
23	340484704249720833	0	<hashtag> oomf </hashtag> needs some prozac damn
24	348629848186568705	0	<user> nathan fillion </user> i thought this said boniva - that calcium prescription pill and got super confused . <hashtag> over tired </hashtag> <hashtag> strong bones </hashtag>
